MeasureID,Behavior,Dimensions,Item,Xnum,Text,StandardConstruct
6,Servant,Empowering,Item1,88,My manager gives me the responsibility to make important decisions about my job.,Servant
6,Servant,Empowering,Item2,89,My manager encourages me to handle important work decisions on my own.,Servant
6,Servant,Empowering,Item3,90,"My manager gives me the freedom to
handle difficult situations in the way that I
feel is best.",Servant
6,Servant,Empowering,Item4,91,"When I have to make an important
decision at work, I do not have to consult
my manager first.",Servant
6,Servant,Helping subordinates grow and succeed,Item1,92,"My manager makes my career
development a priority.",Servant
6,Servant,Helping subordinates grow and succeed,Item2,93,"My manager is interested in making sure
that I achieve my career goals.",Servant
6,Servant,Helping subordinates grow and succeed,Item3,94,"My manager provides me with work
experiences that enable me to develop
new skills.",Servant
6,Servant,Helping subordinates grow and succeed,Item4,95,"My manager wants to know about my
career goals.",Servant
6,Servant,Putting subordinates first,Item1,96,"My manager seems to care more about
my success than his/her own.",Servant
6,Servant,Putting subordinates first,Item2,97,"My manager puts my best interests ahead
of his/her own.",Servant
6,Servant,Putting subordinates first,Item3,98,"My manager sacrifices his/her own
interests to meet my needs.",Servant
6,Servant,Putting subordinates first,Item4,99,"My manager does what she/he can do to
make my job easier.",Servant
6,Servant,Behaving ethically,Item1,100,My manager holds high ethical standards.,Servant
6,Servant,Behaving ethically,Item2,101,My manager is always honest.,Servant
6,Servant,Behaving ethically,Item3,102,My manager would not compromise ethical principles in order to achieve success.,Servant
6,Servant,Behaving ethically,Item4,103,My manager values honesty more than profits.,Servant
20,Ethical,People orientation,Item1,104,Is interested in how I feel and how I am doing,Ethical
20,Ethical,People orientation,Item2,105,Takes time for personal contact,Ethical
20,Ethical,People orientation,Item3,106,Pays attention to my personal needs.,Ethical
20,Ethical,People orientation,Item4,107,Takes time to talk about work-related emotions,Ethical
20,Ethical,People orientation,Item5,108,Is genuinely concerned about my personal development,Ethical
20,Ethical,People orientation,Item6,109,Sympathizes with me when I have problems,Ethical
20,Ethical,People orientation,Item7,110,Cares about his/her followers.,Ethical
20,Ethical,Fairness,Item1,111,Holds me accountable for problems over which I have no control.,Ethical
20,Ethical,Fairness,Item2,112,Holds me responsible for work that I gave no control over.,Ethical
20,Ethical,Fairness,Item3,113,Holds me responsible for things that are not my fault,Ethical
20,Ethical,Fairness,Item4,114,Pursues his/her own success at the expense of others,Ethical
20,Ethical,Fairness,Item5,115,Is focused mainly on reaching his/her own goals,Ethical
20,Ethical,Fairness,Item6,116,Manipulates subordinates,Ethical
20,Ethical,Power sharing,Item1,117,Allows subordinates to influence critical decisions,Ethical
20,Ethical,Power sharing,Item2,118,Does not allow others to participate in decision making,Ethical
20,Ethical,Power sharing,Item3,119,Seeks advice from subordinates concerning organizational strategy,Ethical
20,Ethical,Power sharing,Item4,120,Will reconsider decisions on the basis of recommendations by those who report to him/her,Ethical
20,Ethical,Power sharing,Item5,121,Delegates challenging responsibilities to subordinates,Ethical
20,Ethical,Power sharing,Item6,122,Permits me to play a key role in setting my own performance goals,Ethical
20,Ethical,Concern for sustainability,Item1,123,Would like to work in an environmentally friendly manner,Ethical
20,Ethical,Concern for sustainability,Item2,124,Shows concern for sustainability issues,Ethical
20,Ethical,Concern for sustainability,Item3,125,Stimulates recycling of items and materials in our department,Ethical
20,Ethical,Ethical guidance,Item1,126,Clearly explains integrity related codes of conduct,Ethical
20,Ethical,Ethical guidance,Item2,127,Explains what is expected from employees in terms of behaving with integrity.,Ethical
20,Ethical,Ethical guidance,Item3,128,Clarifies integrity guidelines.,Ethical
20,Ethical,Ethical guidance,Item4,129,Ensures that employees follow codes of integrity,Ethical
20,Ethical,Ethical guidance,Item5,130,Clarifies the likely consequences of possible unethical behavior by myself and my colleagues,Ethical
20,Ethical,Ethical guidance,Item6,131,Stimulates the discussion of integrity issues among employees,Ethical
20,Ethical,Ethical guidance,Item7,132,Compliments employees who behave according to the integrity guidelines,Ethical
20,Ethical,Role clarification,Item1,133,Indicates what the performance expectations of each group member are,Ethical
20,Ethical,Role clarification,Item2,134,Explains what is expected of each group member,Ethical
20,Ethical,Role clarification,Item3,135,Explains what is expected of me and my colleagues,Ethical
20,Ethical,Role clarification,Item4,136,Clarifies priorities,Ethical
20,Ethical,Role clarification,Item5,137,Clarifies who is responsible for what,Ethical
20,Ethical,Integrity,Item1,138,Keeps his/her promises,Ethical
20,Ethical,Integrity,Item2,139,Can be trusted to do the things he/she says,Ethical
20,Ethical,Integrity,Item3,140,Can be relied on to honor his/her commitments,Ethical
20,Ethical,Integrity,Item4,141,Always keeps his/her words,Ethical
22,Ethical,Morality and fairness,Item1,142,Makes sure that his/her actions are always ethical,Ethical
22,Ethical,Morality and fairness,Item2,143,"Means what he/she says, is earnest",Ethical
22,Ethical,Morality and fairness,Item3,144,"Deserves trust, can be believed and relied upon to keep his/her word",Ethical
22,Ethical,Morality and fairness,Item4,145,Can be trusted to serve the interests of his/her subordinates rather than him/herself,Ethical
22,Ethical,Morality and fairness,Item5,146,Does not criticize subordinates without good reason,Ethical
22,Ethical,Morality and fairness,Item6,147,Pursues own best interest at the expense of others,Ethical
22,Ethical,Role clarification,Item1,148,Explains who is responsible for what,Ethical
22,Ethical,Role clarification,Item2,149,Explains what is expected of each member of the group,Ethical
22,Ethical,Role clarification,Item3,150,Explains each individual group members' scope of authority,Ethical
22,Ethical,Role clarification,Item4,151,Communicates his/her performance expectations for group members,Ethical
22,Ethical,Role clarification,Item5,152,Clarifies priorities,Ethical
22,Ethical,Power sharing,Item1,153,Allows subordinates to have influence on critical decisions,Ethical
22,Ethical,Power sharing,Item2,154,Will reconsider decisions on the basis of recommendations by those who report to him/her,Ethical
22,Ethical,Power sharing,Item3,155,Delegates challenging responsibilities to subordinates,Ethical
22,Ethical,Power sharing,Item4,156,Does not allow others to participate in decision making,Ethical
22,Ethical,Power sharing,Item5,157,Seeks advice concerning organizational strategy from subordinates,Ethical
22,Ethical,Power sharing,Item6,158,Allows subordinates to take a strong hand in setting their performance goals,Ethical
24,Ethical,,Item1,165,Conducts his/her personal life in an ethical manner,Ethical
24,Ethical,,Item2,166,Defines success not just by results but also the way that they are obtained,Ethical
24,Ethical,,Item3,167,Listens to what employees have to say,Ethical
24,Ethical,,Item4,168,Disciplines employees who violate ethical standards,Ethical
24,Ethical,,Item5,169,Makes fair and balanced decisions,Ethical
24,Ethical,,Item6,170,Can be trusted,Ethical
24,Ethical,,Item7,171,Discusses business ethics or values with employees,Ethical
24,Ethical,,Item8,172,Sets an example of how to do things the right way in terms of ethics,Ethical
24,Ethical,,Item9,173,Has the best interests of employees in mind,Ethical
24,Ethical,,Item10,174,"When making decisions, asks “what is the right thing to do?”",Ethical
19,Servant,,Item1,175,"Uses power in service to others, not for his or her ambition",Servant
19,Servant,,Item2,176,Gives me the right to question his or her actions and decisions,Servant
19,Servant,,Item3,177,"Respects me for who I am, not how much I make him or her feel",Servant
19,Servant,,Item4,178,Enhances my capacity for moral actions,Servant
19,Servant,,Item5,179,Helps me to generate a sense of meaning out of everyday life at work,Servant
19,Servant,,Item6,180,Contributes to my personal and professional growth,Servant
15,Empowering Behavior,Delegation of authority,Item1,181,My manager gives me the authority I need to make decisions that improve work processes and procedures,Empowering
15,Empowering Behavior,Delegation of authority,Item2,182,My manager gives me the authority to make changes necessary to improve things,Empowering
15,Empowering Behavior,Delegation of authority,Item3,183,My manager delegates authority to me that is equal to the level of responsibility that I am assigned,Empowering
15,Empowering Behavior,Accountability,Item1,184,My manager holds me accountable for the work I am assigned,Empowering
15,Empowering Behavior,Accountability,Item2,185,I am held accountable for performance and results,Empowering
15,Empowering Behavior,Accountability,Item3,186,My manager holds people in the department accountable for customer satisfaction,Empowering
15,Empowering Behavior,Self-directed decision making,Item1,187,"My manager tries to help me arrive at my own solutions when problems arise, rather than telling me what he/she would do.",Empowering
15,Empowering Behavior,Self-directed decision making,Item2,188,My manager relies on me to make my own decisions about issues that affect how work gets done,Empowering
15,Empowering Behavior,Self-directed decision making,Item3,189,My manager encourages me to develop my own solutions to problems I encounter in my work,Empowering
15,Empowering Behavior,Information sharing,Item1,190,My manager shares information that I need to ensure high quality results.,Empowering
15,Empowering Behavior,Information sharing,Item2,191,My manager provides me with the information I need to meet customers’ needs,Empowering
15,Empowering Behavior,Skill development,Item1,192,"My manager encourages me to use systematic problem-solving methods (e.g., the seven-step problem-solving model)",Empowering
15,Empowering Behavior,Skill development,Item2,193,My manager provides me with frequent opportunities to develop new skills,Empowering
15,Empowering Behavior,Skill development,Item3,194,My manager ensures that continuous learning and skill development are priorities in our department,Empowering
15,Empowering Behavior,Coaching for innovative performance,Item1,195,"My manager is willing to risk mistakes on my part if, over the long term, I will learn and develop as a result of the experience.",Empowering
15,Empowering Behavior,Coaching for innovative performance,Item2,196,I am encouraged to try out new ideas even if there is a chance they may not succeed,Empowering
15,Empowering Behavior,Coaching for innovative performance,Item3,197,My manager focuses on corrective action rather than placing blame when I make a mistake,Empowering
14,Charismatic,Vision and articulation,Item1,198,Exciting public speaker,Charismatic
14,Charismatic,Vision and articulation,Item2,199,Appears to be a skillful performer when presenting to a group,Charismatic
14,Charismatic,Vision and articulation,Item3,200,"Inspirational, able to motivate by articulating effectively the importance of what organizational members are doing",Charismatic
14,Charismatic,Vision and articulation,Item4,201,"Has vision, often brings up ideas about possibilities for the future",Charismatic
14,Charismatic,Vision and articulation,Item5,202,Provides inspiring strategic and organizational goals,Charismatic
14,Charismatic,Vision and articulation,Item6,203,Consistently generates new ideas for the future of the organization,Charismatic
14,Charismatic,Environmental sensitivity,Item1,204,"Readily recognizes constraints in the organization's social and cultural environment (cultural norms, lack of grass roots support, etc) that may stand in the way of achieving organizational objectives",Charismatic
14,Charismatic,Environmental sensitivity,Item2,205,"Readily recognizes constraints in the physical environment (technological limitations, lack of resources, etc) that may stand in the way of achieving organizational objectives",Charismatic
14,Charismatic,Environmental sensitivity,Item3,206,Readily recognizes barriers/forces within the organization that may block or hinder achievement of his/her goals,Charismatic
14,Charismatic,Environmental sensitivity,Item4,207,Recognizes the abilities and skills of other members in the organization,Charismatic
14,Charismatic,Environmental sensitivity,Item5,208,Recognizes the limitations of other members in the organization,Charismatic
14,Charismatic,Environmental sensitivity,Item6,209,Readily recognizes new environmental opportunities (favorable physical and social conditions) that may facilitate achievement or organizational objectives,Charismatic
14,Charismatic,Environmental sensitivity,Item7,210,Entrepreneurial; seizes new opportunities to achieve goals,Charismatic
14,Charismatic,Unconventional behavior,Item1,211,Engages in unconventional behavior to achieve organizational goals,Charismatic
14,Charismatic,Unconventional behavior,Item2,212,Uses non-traditional means to achieve organizational goals,Charismatic
14,Charismatic,Unconventional behavior,Item3,213,Often exhibits very unique behavior that surprises other members of the organization,Charismatic
14,Charismatic,Personal risk,Item1,214,"In pursuing organizational objectives, engages in activities involving considerable personal risk",Charismatic
14,Charismatic,Personal risk,Item2,215,"In pursuing organizational objectives, engages in activities involving considerable self-sacrifice",Charismatic
14,Charismatic,Personal risk,Item3,216,Takes high personal risk for the sake of the organization,Charismatic
14,Charismatic,Personal risk,Item4,217,Often incurs high personal costs for the good of the organization,Charismatic
14,Charismatic,Sensitivity to member needs,Item1,218,Shows sensitivity for the needs and feelings of other members in the organization,Charismatic
14,Charismatic,Sensitivity to member needs,Item2,219,Influences others by developing mutual liking and respect,Charismatic
14,Charismatic,Sensitivity to member needs,Item3,220,Often expresses personal concern for the needs and feelings of other members of the organization,Charismatic
14,Charismatic,Does not maintain status quo,Item1,221,Tries to maintain the status quo or the normal way of doing things,Charismatic
14,Charismatic,Does not maintain status quo,Item2,222,Advocates following non-risky well-established courses of action to achieve organizational goals,Charismatic
12,Authentic,Self-awareness,Item1,271,My leader describes accurately the way that others view his/her abilities.,Authentic
12,Authentic,Self-awareness,Item2,272,My leader shows that he/she understands his/her strengths and weaknesses.,Authentic
12,Authentic,Self-awareness,Item3,273,My leader is clearly aware of the impact he/she has on others.,Authentic
12,Authentic,Relational transparency,Item1,274,My leader clearly states what he/she means.,Authentic
12,Authentic,Relational transparency,Item2,275,My leader openly shares information with others.,Authentic
12,Authentic,Relational transparency,Item3,276,My leader expresses his/her ideas and thoughts clearly to others.,Authentic
12,Authentic,Internalized moral perspective,Item1,277,My leader shows consistency between his/her beliefs and actions.,Authentic
12,Authentic,Internalized moral perspective,Item2,278,My leader uses his/her core beliefs to make decisions.,Authentic
12,Authentic,Internalized moral perspective,Item3,279,My leader resists pressures on him/her to do things contrary to his/her beliefs.,Authentic
12,Authentic,Internalized moral perspective,Item4,280,My leader is guided in his/her actions by internal moral standards.,Authentic
12,Authentic,Balanced processing,Item1,281,My leader asks for ideas that challenge his/her core beliefs.,Authentic
12,Authentic,Balanced processing,Item2,282,My leader carefully listens to alternative perspectives before reaching a conclusion.,Authentic
12,Authentic,Balanced processing,Item3,283,My leader objectively analyzes relevant data before making a decision,Authentic
12,Authentic,Balanced processing,Item4,284,My leader encourages others to voice opposing points of view.,Authentic
9,Servant,Forming relationships with subordinates,Item1,285,My department manager spends the time to form quality relationships with department employees.,Servant
9,Servant,Forming relationships with subordinates,Item2,286,My department manager creates a sense of community among department employees.,Servant
9,Servant,Empowering subordinates,Item1,287,My department manager's decisions are influenced by department employees' input.,Servant
9,Servant,Empowering subordinates,Item2,288,My department manager tries to reach consensus among department employees on important decisions.,Servant
9,Servant,Helping subordinates grow and succeed,Item1,289,My department manager is sensitive to department employees' responsibilities outside the work place.,Servant
9,Servant,Helping subordinates grow and succeed,Item2,290,My department manager makes the personal development of department employees a priority.,Servant
9,Servant,Behaving ethically,Item1,291,My department manager holds department employees to high ethical standards.,Servant
9,Servant,Behaving ethically,Item2,292,My department manager does what she or he promises to do.,Servant
9,Servant,Having conceptual skills,Item1,293,My department manager balances concern for day-to-day details with projections for the future.,Servant
9,Servant,Having conceptual skills,Item2,294,My department manager displays wide-ranging knowledge and interests in finding solutions to work problems.,Servant
9,Servant,Putting subordinates first,Item1,295,"My department manager makes me feel like I work with him/her, not for him/her.",Servant
9,Servant,Putting subordinates first,Item2,296,My department manager works hard at finding ways to help others be the best they can be.,Servant
9,Servant,Creating values for those outside of the organization,Item1,297,My department manager encourages department employees to be involved in community service and volunteer activities outside of work.,Servant
9,Servant,Creating values for those outside of the organization,Item2,298,My department manager emphasizes the importance of giving back to the community.,Servant
26,Group-Focused Transformational Leadership,Team-building,Item1,299,Our supervisor fosters collaboration among his/her subordinates.,Transformational
26,Group-Focused Transformational Leadership,Team-building,Item2,300,"Our supervisor encourages employees to be “team
players”",Transformational
26,Group-Focused Transformational Leadership,Team-building,Item3,301,"Our supervisor develops a team attitude and spirit
among his/her subordinates",Transformational
26,Group-Focused Transformational Leadership,Articulating a group vision,Item1,302,Our supervisor inspires us with his/her plans for the future,Transformational
26,Group-Focused Transformational Leadership,Articulating a group vision,Item2,303,Our supervisor provides us with a compelling vision to work toward,Transformational
26,Group-Focused Transformational Leadership,Articulating a group vision,Item3,304,Our supervisor has a clear understanding of where we are going,Transformational
26,Group-Focused Transformational Leadership,Fostering acceptance of group goals,Item1,305,"
Our supervisor gets the group to work together for the same goal",Transformational
26,Group-Focused Transformational Leadership,Fostering acceptance of group goals,Item2,306,Our supervisor is able to get others to commit to what we need to accomplish in our unit,Transformational
26,Individual-Focused Transformational Leadership,Individualized support,Item1,307,My supervisor shows respect for personal feelings,Transformational
26,Individual-Focused Transformational Leadership,Individualized support,Item2,308,"My supervisor behaves in a manner, which is thoughtful of my personal needs",Transformational
26,Individual-Focused Transformational Leadership,Individualized support,Item3,309,My supervisor sees that my interests are given due consideration,Transformational
26,Individual-Focused Transformational Leadership,Intellectual stimulation,Item1,310,My supervisor challenges me to think about old problems in new ways,Transformational
26,Individual-Focused Transformational Leadership,Intellectual stimulation,Item2,311,My supervisor stimulates me to rethink some things that I have never questioned before,Transformational
26,Individual-Focused Transformational Leadership,Intellectual stimulation,Item3,312,My supervisor challenges me to re-examine some of my basic assumptions about work,Transformational
53,Servant Leadership,Altruistic Calling,Item1,491,This person puts my best interests ahead of his/her own.,Servant
53,Servant Leadership,Altruistic Calling,Item2,492,This person does everything he/she can to serve me.,Servant
53,Servant Leadership,Altruistic Calling,Item3,493,This person sacrifices his/her own interests to meet my needs.,Servant
53,Servant Leadership,Altruistic Calling,Item4,494,This person goes above and beyond the call of duty to meet my needs.,Servant
53,Servant Leadership,Emotional healing,Item1,495,This person is one I would turn to if I had a personal trauma.,Servant
53,Servant Leadership,Emotional healing,Item2,496,This person is good at helping me with my emotional issues.,Servant
53,Servant Leadership,Emotional healing,Item3,497,This person is talented at helping me to heal emotionally.,Servant
53,Servant Leadership,Emotional healing,Item4,498,This person is one that could help me mend my hard feelings.,Servant
53,Servant Leadership,Wisdom,Item1,499,This person seems alert to what's happening.,Servant
53,Servant Leadership,Wisdom,Item2,500,This person is good at anticipating the consequences of decisions.,Servant
53,Servant Leadership,Wisdom,Item3,501,This person has great awareness of what is going on.,Servant
53,Servant Leadership,Wisdom,Item4,502,This person seems in touch with what's happening.,Servant
53,Servant Leadership,Wisdom,Item5,503,This person seems to know what is going to happen.,Servant
53,Servant Leadership,Persuasive mapping,Item1,504,This person offers compelling reasons to get me to do things.,Servant
53,Servant Leadership,Persuasive mapping,Item2,505,"This person encourages me to dream ""big dreams"" about the organization.",Servant
53,Servant Leadership,Persuasive mapping,Item3,506,This person is very persuasive.,Servant
53,Servant Leadership,Persuasive mapping,Item4,507,This person is good at convincing me to do things.,Servant
53,Servant Leadership,Persuasive mapping,Item5,508,This person is gifted when it comes to persuading me.,Servant
53,Servant Leadership,Organizational stewardship,Item1,509,This person believes that the organization needs to play a moral role in society.,Servant
53,Servant Leadership,Organizational stewardship,Item2,510,This person believes that our organization needs to function as a community.,Servant
53,Servant Leadership,Organizational stewardship,Item3,511,This person sees the organization for its potential to contribute to society.,Servant
53,Servant Leadership,Organizational stewardship,Item4,512,This person encourages me to have a community spirit in the workplace.,Servant
53,Servant Leadership,Organizational stewardship,Item5,513,This person is preparing the organization to make a positive difference in the future.,Servant
54,Ethical Leadership,,Item1,514,Shows a strong concern for ethical and moral values.,Ethical
54,Ethical Leadership,,Item2,515,Communicates clear ethical standards for members.,Ethical
54,Ethical Leadership,,Item3,516,Sets an example of ethical behavior in his/her decisions and actions.,Ethical
54,Ethical Leadership,,Item4,517,Is honest and can be trusted to tell the truth.,Ethical
54,Ethical Leadership,,Item5,518,Keeps his/her actions consistent with his/her stated values (“walks the talk”).,Ethical
54,Ethical Leadership,,Item6,519,Is fair and unbiased when assigning tasks to members.,Ethical
54,Ethical Leadership,,Item7,520,Can be trusted to carry out promises and commitments.,Ethical
54,Ethical Leadership,,Item8,521,Insists on doing what is fair and ethical even when it is not easy.,Ethical
54,Ethical Leadership,,Item9,522,Acknowledges mistakes and takes responsibility for them.,Ethical
54,Ethical Leadership,,Item10,523,Regards honesty and integrity as important personal values.,Ethical
54,Ethical Leadership,,Item11,524,Sets an example of dedication and self-sacrifice for the organization.,Ethical
54,Ethical Leadership,,Item12,525,Opposes the use of unethical practices to increase performance.,Ethical
54,Ethical Leadership,,Item13,526,Is fair and objective when evaluating member performance and providing rewards.,Ethical
54,Ethical Leadership,,Item14,527,Puts the needs of others above his/her own self-interest.,Ethical
54,Ethical Leadership,,Item15,528,Holds members accountable for using ethical practices in their work.,Ethical
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Communicating high expectations,Item1,534,Encourages me to set high goals for myself.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Communicating high expectations,Item2,535,Communicates high performance expectations to me.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Communicating high expectations,Item3,536,"Shows confidence in my ability to meet performance
expectations.",Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Communicating high expectations,Item4,537,Demonstrates total confidence in me.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Communicating high expectations,Item5,538,Encourages me to live up to my potential.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Follower development,Item1,539,Helps me develop my strengths.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Follower development,Item2,540,Suggests training to improve my ability to carry out my job.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Follower development,Item3,541,Provides me with developmental experiences.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Follower development,Item4,542,Provides feedback to help me develop my abilities.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Follower development,Item5,543,Provides coaching to help me improve my job performance.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Intellectual stimulation,Item1,544,Gets me to look at problems from many different angles.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Intellectual stimulation,Item2,545,Challenges me to think about old problems in new ways.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Intellectual stimulation,Item3,546,Challenges me to be innovative in my approach to work assignments.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Intellectual stimulation,Item4,547,Encourages me to be an independent thinker.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Personal recognition,Item1,548,Commends me when I achieve my goals.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Personal recognition,Item2,549,Gives me positive feedback when I perform well.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Personal recognition,Item3,550,Gives me special recognition when my work is very good.,Transformational
37,Dual-Level Transformational Leadership - The Individual-Focused TFL Subscale,Personal recognition,Item4,551,Acknowledges improvement in my quality of work.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Emphasizing group identity,Item1,552,Encourages team members to take pride in our team.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Emphasizing group identity,Item2,553,"Says things that make us feel proud to be members of this
team.",Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Emphasizing group identity,Item3,554,Says positive things about the team.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Emphasizing group identity,Item4,555,"Encourages others to place the interests of the team ahead
of their own interests.",Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Emphasizing group identity,Item5,556,Emphasizes the uniqueness of the team.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Communicating a group vision,Item1,557,"Articulates a compelling vision of the future for our
team.",Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Communicating a group vision,Item2,558,Talks optimistically about the future of our team.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Communicating a group vision,Item3,559,Talks enthusiastically about what needs to be accomplished by our team.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Communicating a group vision,Item4,560,"Communicates a clear direction of where our team is
going.",Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Team-building,Item1,561,Fosters collaboration among team members.,Transformational
37,Dual-Level Transformational Leadership - The Group-Focused TFL Subscale,Team-building,Item2,562,"Encourages group members to be “team players.”
",Transformational
