construct,item_count,expected_pairs
Immoderation,10,45
Belligerence,10,45
Inquisitiveness,10,45
Capacity for Love,10,45
Social Boldness,10,45
Submissiveness,10,45
Diligence,10,45
Forcefulness,10,45
Good Nature,10,45
Need for Cognition,10,45
Temperance,10,45
Disorderliness,10,45
Amiability,10,45
Ambition/Drive,10,45
Timidity,10,45
Cognitive-Failures,10,45
Insight,10,45
Self-deception,10,45
Need for Order and Cleanliness,10,45
Behavioral Inhibition/Activation System,10,45
Negative Expressivity,10,45
Responsive Joy,10,45
Unconventionality,10,45
Fearfulness,10,45
Attention to Emotions,10,45
Flexibility,10,45
Sincerity,10,45
Rigidity,10,45
Patience,10,45
Gentleness,10,45
Imperturbability,9,36
Unpretentiousness,9,36
Romanticism,9,36
Appearance-Consciousness,9,36
Emotion-based Decision-making,9,36
Physical Attractiveness,9,36
Cognitive Problems,8,28
Adaptability,8,28
Femininity,8,28
Docility,8,28
Hostile Aggression,8,28
Interest in Music,8,28
Interest in Outdoor Activities,7,21
Irresponsibility,7,21
Interest in Journaling,7,21
Interest in Watching Television,7,21
Interest in Exercise,7,21
Grandiosity,7,21
Rudeness,7,21
Self-harm,7,21
Unusual Experiences,7,21
Relationship Insecurity,7,21
Emotional Detachment,7,21
Interest in Shopping,7,21
Interest in Environmentalism,7,21
Interest in Home-Making,7,21
Irrational Beliefs,7,21
Health Anxiety,7,21
Interest in Political Activism,7,21
Norm Violation,7,21
Interest in Food,7,21
Rumination,6,15
Manipulativeness,6,15
Non-Perseverance,6,15
Social Withdrawal,6,15
Mistrust,6,15
Fantasy Proneness,6,15
Non-Planfulness,6,15
Anhedonia,6,15
Affective Lability,6,15
Self-confidence,6,15
Interest in Gardening,6,15
Machiavellianism,6,15
Interest in Money,6,15
Interest in Romance,6,15
Interest in Pets,6,15
Interest in Children,6,15
Interest in Gambling,6,15
Interest in Computing,6,15
Romantic Disinterest,6,15
Interest in Travel,6,15
Interest in Sports,6,15
"Locus of Control,Rational",5,10
Interest in Social Media,5,10
Workaholism,5,10
Peculiarity,5,10
Interest in Collecting,5,10
Interest in Self-Improvement,5,10
Interest in Drinking,5,10
Extravagance,4,6
Disparagement,4,6
Interest in Vehicles,4,6
