true_construct,predicted_ipip,confidence
Servant,Conservatism,0.7570676
Servant,Morality,0.82683724
Servant,Complexity,0.78380203
Servant,Curiosity,0.8366667
Servant,Empathy,0.82860315
Servant,Kindness/Generosity,0.84746003
Servant,Altruism,0.7438357
Servant,Responsibility,0.81582546
Transformational,Teamwork/Citizenship,0.81397784
Transformational,Teamwork/Citizenship,0.7690371
Transformational,Teamwork/Citizenship,0.77316093
Transformational,Leadership,0.8066189
Transformational,Creativity/Originality,0.79582316
Transformational,Intellectual Openness,0.7984008
Transformational,Teamwork/Citizenship,0.8104421
Transformational,Leadership,0.7732073
Transformational,Understanding,0.8501694
Transformational,Modesty/Humility,0.8027794
Transformational,Judgment/Open-mindedness,0.8141781
Transformational,Depth,0.76679075
Transformational,Imagination,0.807488
Transformational,Need for Cognition,0.735539
Servant,Capacity for Love,0.8305647
Servant,Responsibility,0.84518033
Servant,Responsibility,0.8402998
Servant,Responsibility,0.79429495
Servant,Capacity for Love,0.79133356
Servant,Kindness/Generosity,0.79865855
Servant,Sentimentality,0.77673674
Servant,Capacity for Love,0.8238553
Servant,Responsive Distress,0.78353447
Servant,Prudence,0.8153775
Servant,Social/Personal/Emotional Intelligence,0.7868953
Servant,Social/Personal/Emotional Intelligence,0.7510937
Servant,Unlikely Virtues,0.81206053
Servant,Hypomanic Exhibitionism,0.83647794
Servant,Hypomanic Exhibitionism,0.81097525
Servant,Leadership,0.8328839
Servant,Hypomanic Exhibitionism,0.8395124
Servant,Hypomanic Exhibitionism,0.84260374
Servant,Liberalism,0.77267826
Servant,Leadership,0.7922232
Servant,Hypomanic Exhibitionism,0.7712224
Servant,Hypomanic Exhibitionism,0.8259626
Servant,Altruism,0.7569125
Ethical,Trust,0.83491194
Ethical,Leadership,0.81840295
Ethical,Conservatism,0.8137024
Ethical,Honesty/Integrity/Authenticity,0.88351744
Ethical,Dominance,0.8120514
Ethical,Leadership,0.7363326
Ethical,Honesty/Integrity/Authenticity,0.8493757
Ethical,Equity/Fairness,0.85123223
Ethical,Equity/Fairness,0.8748476
Ethical,Honesty/Integrity/Authenticity,0.8437279
Ethical,Ambition/Drive,0.81302613
Ethical,Morality,0.7721322
Ethical,Responsibility,0.7613083
Ethical,Warmth,0.883585
Ethical,Conservatism,0.7940833
Transformational,Achievement-striving,0.8442387
Transformational,Perfectionism,0.8452691
Transformational,Self-esteem,0.8512134
Transformational,Modesty/Humility,0.8574904
Transformational,Greed Avoidance,0.86392474
Transformational,Self-esteem,0.81311435
Transformational,Achievement-striving,0.82996494
Transformational,Intellectual Openness,0.8419736
Transformational,Creativity/Originality,0.8121079
Transformational,Self-esteem,0.8111019
Transformational,Resourcefulness,0.81643987
Transformational,Depth,0.80593103
Transformational,Creativity/Originality,0.8174228
Transformational,Hypomanic Exhibitionism,0.83880454
Transformational,Achievement-striving,0.840045
Transformational,Self-esteem,0.7980845
Transformational,Creativity/Originality,0.8115268
Transformational,Achievement-striving,0.8362625
Transformational,Teamwork/Citizenship,0.8038762
Transformational,Modesty/Humility,0.81142426
Transformational,Self-disclosure,0.78219646
Transformational,Leadership,0.82167053
Transformational,Teamwork/Citizenship,0.7452826
Transformational,Complexity,0.77938867
Transformational,Hope/Optimism,0.73354
Transformational,Leadership,0.7614384
Transformational,Extraversion,0.75066936
Transformational,Teamwork/Citizenship,0.806239
Transformational,Teamwork/Citizenship,0.83334357
Transformational,Leadership,0.8024956
Transformational,Teamwork/Citizenship,0.78284657
Transformational,Teamwork/Citizenship,0.7925481
Abusive,Positive Expressivity,0.82219553
Abusive,Responsibility,0.775041
Abusive,Dominance,0.7961435
Abusive,Dissociation,0.80655277
Abusive,Negative Expressivity,0.7938073
Abusive,Agreeableness,0.7731747
Abusive,Responsibility,0.7953968
Abusive,Gentleness,0.7713554
Instrumental,Need for Cognition,0.7559614
Instrumental,Variety-seeking,0.74359936
Instrumental,Teamwork/Citizenship,0.7705812
Instrumental,Interest in Money,0.65608287
Instrumental,Leadership,0.7623323
Instrumental,Resourcefulness,0.6717021
Instrumental,Complexity,0.7403751
Instrumental,Achievement-striving,0.6987895
Instrumental,Achievement-striving,0.80518013
Instrumental,Achievement-striving,0.7931576
Instrumental,Achievement-striving,0.79904044
Instrumental,Non-Perseverance,0.7605586
Instrumental,Organization,0.76234794
Instrumental,Self-esteem,0.8010906
Instrumental,Resourcefulness,0.7796082
Instrumental,Perfectionism,0.78796893
Transformational,Teamwork/Citizenship,0.7566601
Transformational,Teamwork/Citizenship,0.72476673
Transformational,Altruism,0.7241779
Transformational,Teamwork/Citizenship,0.74254495
Transformational,Understanding,0.73747927
Transformational,Teamwork/Citizenship,0.73860747
Transformational,Teamwork/Citizenship,0.76889646
Transformational,Leadership,0.7560931
Transformational,Spirituality/Religiousness,0.7269469
Transformational,Leadership,0.73677605
Transformational,Conservatism,0.7187318
Transformational,Teamwork/Citizenship,0.74147886
Transformational,Leadership,0.7090532
Transformational,Leadership,0.7183851
Transformational,Leadership,0.7380971
Transformational,Intellectual Openness,0.7206667
Transformational,Leadership,0.6420682
Transformational,Intellectual-Complexity,0.7769659
Transformational,Interest in Self-Improvement,0.72022706
Transformational,Leadership,0.77137727
