MeasureID,Behavior,Dimensions,Item,Xnum,Text,ProcessedText
20,Ethical,Fairness,Item3,113.0,Holds me responsible for things that are not my fault,Holds me responsible for things that are not my fault
20,Ethical,Fairness,Item4,114.0,Pursues his/her own success at the expense of others,Pursues his/her own success at the expense of others
20,Ethical,Fairness,Item5,115.0,Is focused mainly on reaching his/her own goals,Is focused mainly on reaching his/her own goals
20,Ethical,Fairness,Item6,116.0,Manipulates subordinates,Manipulates subordinates
20,Ethical,Power sharing,Item1,117.0,Allows subordinates to influence critical decisions,Allows subordinates to influence critical decisions
20,Ethical,Power sharing,Item2,118.0,Does not allow others to participate in decision making,Does not allow others to participate in decision making
20,Ethical,Power sharing,Item3,119.0,Seeks advice from subordinates concerning organizational strategy,Seeks advice from subordinates concerning organizational strategy
20,Ethical,Power sharing,Item4,120.0,Will reconsider decisions on the basis of recommendations by those who report to him/her,Will reconsider decisions on the basis of recommendations by those who report to him/her
20,Ethical,Power sharing,Item5,121.0,Delegates challenging responsibilities to subordinates,Delegates challenging responsibilities to subordinates
20,Ethical,Power sharing,Item6,122.0,Permits me to play a key role in setting my own performance goals,Permits me to play a key role in setting my own performance goals
20,Ethical,Concern for sustainability,Item1,123.0,Would like to work in an environmentally friendly manner,Would like to work in an environmentally friendly manner
20,Ethical,Concern for sustainability,Item2,124.0,Shows concern for sustainability issues,Shows concern for sustainability issues
20,Ethical,Concern for sustainability,Item3,125.0,Stimulates recycling of items and materials in our department,Stimulates recycling of items and materials in our department
20,Ethical,Ethical guidance,Item1,126.0,Clearly explains integrity related codes of conduct,Clearly explains integrity related codes of conduct
20,Ethical,Ethical guidance,Item2,127.0,Explains what is expected from employees in terms of behaving with integrity.,Explains what is expected from employees in terms of behaving with integrity.
20,Ethical,Ethical guidance,Item3,128.0,Clarifies integrity guidelines.,Clarifies integrity guidelines.
20,Ethical,Ethical guidance,Item4,129.0,Ensures that employees follow codes of integrity,Ensures that employees follow codes of integrity
20,Ethical,Ethical guidance,Item5,130.0,Clarifies the likely consequences of possible unethical behavior by myself and my colleagues,Clarifies the likely consequences of possible unethical behavior by myself and my colleagues
20,Ethical,Ethical guidance,Item6,131.0,Stimulates the discussion of integrity issues among employees,Stimulates the discussion of integrity issues among employees
20,Ethical,Ethical guidance,Item7,132.0,Compliments employees who behave according to the integrity guidelines,Compliments employees who behave according to the integrity guidelines
20,Ethical,Role clarification,Item1,133.0,Indicates what the performance expectations of each group member are,Indicates what the performance expectations of each group member are
20,Ethical,Role clarification,Item2,134.0,Explains what is expected of each group member,Explains what is expected of each group member
20,Ethical,Role clarification,Item3,135.0,Explains what is expected of me and my colleagues,Explains what is expected of me and my colleagues
20,Ethical,Role clarification,Item4,136.0,Clarifies priorities,Clarifies priorities
20,Ethical,Role clarification,Item5,137.0,Clarifies who is responsible for what,Clarifies who is responsible for what
20,Ethical,Integrity,Item1,138.0,Keeps his/her promises,Keeps his/her promises
20,Ethical,Integrity,Item2,139.0,Can be trusted to do the things he/she says,Can be trusted to do the things he/she says
20,Ethical,Integrity,Item3,140.0,Can be relied on to honor his/her commitments,Can be relied on to honor his/her commitments
20,Ethical,Integrity,Item4,141.0,Always keeps his/her words,Always keeps his/her words
22,Ethical,Morality and fairness,Item1,142.0,Makes sure that his/her actions are always ethical,Makes sure that his/her actions are always ethical
22,Ethical,Morality and fairness,Item2,143.0,"Means what he/she says, is earnest","Means what he/she says, is earnest"
22,Ethical,Morality and fairness,Item3,144.0,"Deserves trust, can be believed and relied upon to keep his/her word","Deserves trust, can be believed and relied upon to keep his/her word"
22,Ethical,Morality and fairness,Item4,145.0,Can be trusted to serve the interests of his/her subordinates rather than him/herself,Can be trusted to serve the interests of his/her subordinates rather than him/herself
22,Ethical,Morality and fairness,Item5,146.0,Does not criticize subordinates without good reason,Does not criticize subordinates without good reason
22,Ethical,Morality and fairness,Item6,147.0,Pursues own best interest at the expense of others,Pursues own best interest at the expense of others
22,Ethical,Role clarification,Item1,148.0,Explains who is responsible for what,Explains who is responsible for what
22,Ethical,Role clarification,Item2,149.0,Explains what is expected of each member of the group,Explains what is expected of each member of the group
22,Ethical,Role clarification,Item3,150.0,Explains each individual group members' scope of authority,Explains each individual group members' scope of authority
22,Ethical,Role clarification,Item4,151.0,Communicates his/her performance expectations for group members,Communicates his/her performance expectations for group members
22,Ethical,Role clarification,Item5,152.0,Clarifies priorities,Clarifies priorities
22,Ethical,Power sharing,Item1,153.0,Allows subordinates to have influence on critical decisions,Allows subordinates to have influence on critical decisions
22,Ethical,Power sharing,Item2,154.0,Will reconsider decisions on the basis of recommendations by those who report to him/her,Will reconsider decisions on the basis of recommendations by those who report to him/her
22,Ethical,Power sharing,Item3,155.0,Delegates challenging responsibilities to subordinates,Delegates challenging responsibilities to subordinates
22,Ethical,Power sharing,Item4,156.0,Does not allow others to participate in decision making,Does not allow others to participate in decision making
22,Ethical,Power sharing,Item5,157.0,Seeks advice concerning organizational strategy from subordinates,Seeks advice concerning organizational strategy from subordinates
22,Ethical,Power sharing,Item6,158.0,Allows subordinates to take a strong hand in setting their performance goals,Allows subordinates to take a strong hand in setting their performance goals
23,Despotic,nan,Item1,159.0,Is punitive; has no pity or compassion,Is punitive; has no pity or compassion
23,Despotic,nan,Item2,160.0,"Is in charge and does not tolerate disagreement or questioning, gives orders","Is in charge and does not tolerate disagreement or questioning, gives orders"
23,Despotic,nan,Item3,161.0,Acts like a tyrant or despot; imperious,Acts like a tyrant or despot; imperious
23,Despotic,nan,Item4,162.0,Tends to be unwilling or unable to relinquish control of projects or tasks,Tends to be unwilling or unable to relinquish control of projects or tasks
23,Despotic,nan,Item5,163.0,Expects unquestioning obedience of those who report to him/her,Expects unquestioning obedience of those who report to him/her
23,Despotic,nan,Item6,164.0,Is vengeful; seeks revenge when wronged,Is vengeful; seeks revenge when wronged
24,Ethical,nan,Item1,165.0,Conducts his/her personal life in an ethical manner,Conducts his/her personal life in an ethical manner
24,Ethical,nan,Item2,166.0,Defines success not just by results but also the way that they are obtained,Defines success not just by results but also the way that they are obtained
24,Ethical,nan,Item3,167.0,Listens to what employees have to say,Listens to what employees have to say
24,Ethical,nan,Item4,168.0,Disciplines employees who violate ethical standards,Disciplines employees who violate ethical standards
24,Ethical,nan,Item5,169.0,Makes fair and balanced decisions,Makes fair and balanced decisions
24,Ethical,nan,Item6,170.0,Can be trusted,Can be trusted
24,Ethical,nan,Item7,171.0,Discusses business ethics or values with employees,Discusses business ethics or values with employees
24,Ethical,nan,Item8,172.0,Sets an example of how to do things the right way in terms of ethics,Sets an example of how to do things the right way in terms of ethics
24,Ethical,nan,Item9,173.0,Has the best interests of employees in mind,Has the best interests of employees in mind
24,Ethical,nan,Item10,174.0,"When making decisions, asks what is the right thing to do?""""","When making decisions, asks what is the right thing to do?"""""
19,Servant,nan,Item1,175.0,"Uses power in service to others, not for his or her ambition","Uses power in service to others, not for his or her ambition"
19,Servant,nan,Item2,176.0,Gives me the right to question his or her actions and decisions,Gives me the right to question his or her actions and decisions
19,Servant,nan,Item3,177.0,"Respects me for who I am, not how much I make him or her feel","Respects me for who I am, not how much I make him or her feel"
19,Servant,nan,Item4,178.0,Enhances my capacity for moral actions,Enhances my capacity for moral actions
19,Servant,nan,Item5,179.0,Helps me to generate a sense of meaning out of everyday life at work,Lps me to generate a sense of meaning out of everyday life at work
19,Servant,nan,Item6,180.0,Contributes to my personal and professional growth,Contributes to my personal and professional growth
15,Empowering Behavior,Delegation of authority,Item1,181.0,My manager gives me the authority I need to make decisions that improve work processes and procedures,Gives me the authority I need to make decisions that improve work processes and procedures
15,Empowering Behavior,Delegation of authority,Item2,182.0,My manager gives me the authority to make changes necessary to improve things,Gives me the authority to make changes necessary to improve things
15,Empowering Behavior,Delegation of authority,Item3,183.0,My manager delegates authority to me that is equal to the level of responsibility that I am assigned,Delegates authority to me that is equal to the level of responsibility that I am assigned
15,Empowering Behavior,Accountability,Item1,184.0,My manager holds me accountable for the work I am assigned,Holds me accountable for the work I am assigned
15,Empowering Behavior,Accountability,Item2,185.0,I am held accountable for performance and results,I am held accountable for performance and results
15,Empowering Behavior,Accountability,Item3,186.0,My manager holds people in the department accountable for customer satisfaction,Holds people in the department accountable for customer satisfaction
15,Empowering Behavior,Self-directed decision making,Item1,187.0,"My manager tries to help me arrive at my own solutions when problems arise, rather than telling me what he/she would do.","Tries to help me arrive at my own solutions when problems arise, rather than telling me what he/she would do."
15,Empowering Behavior,Self-directed decision making,Item2,188.0,My manager relies on me to make my own decisions about issues that affect how work gets done,Relies on me to make my own decisions about issues that affect how work gets done
15,Empowering Behavior,Self-directed decision making,Item3,189.0,My manager encourages me to develop my own solutions to problems I encounter in my work,Encourages me to develop my own solutions to problems I encounter in my work
15,Empowering Behavior,Information sharing,Item1,190.0,My manager shares information that I need to ensure high quality results.,Shares information that I need to ensure high quality results.
15,Empowering Behavior,Information sharing,Item2,191.0,My manager provides me with the information I need to meet customers' needs,Provides me with the information I need to meet customers' needs
15,Empowering Behavior,Skill development,Item1,192.0,"My manager encourages me to use systematic problem-solving methods (e.g., the seven-step problem-solving model)","Encourages me to use systematic problem-solving methods (e.g., the seven-step problem-solving model)"
15,Empowering Behavior,Skill development,Item2,193.0,My manager provides me with frequent opportunities to develop new skills,Provides me with frequent opportunities to develop new skills
15,Empowering Behavior,Skill development,Item3,194.0,My manager ensures that continuous learning and skill development are priorities in our department,Ensures that continuous learning and skill development are priorities in our department
15,Empowering Behavior,Coaching for innovative performance,Item1,195.0,"My manager is willing to risk mistakes on my part if, over the long term, I will learn and develop as a result of the experience.","Is willing to risk mistakes on my part if, over the long term, I will learn and develop as a result of the experience."
15,Empowering Behavior,Coaching for innovative performance,Item2,196.0,I am encouraged to try out new ideas even if there is a chance they may not succeed,I am encouraged to try out new ideas even if there is a chance they may not succeed
15,Empowering Behavior,Coaching for innovative performance,Item3,197.0,My manager focuses on corrective action rather than placing blame when I make a mistake,Focuses on corrective action rather than placing blame when I make a mistake
14,Charismatic,Vision and articulation,Item1,198.0,Exciting public speaker,Exciting public speaker
14,Charismatic,Vision and articulation,Item2,199.0,Appears to be a skillful performer when presenting to a group,Appears to be a skillful performer when presenting to a group
14,Charismatic,Vision and articulation,Item3,200.0,"Inspirational, able to motivate by articulating effectively the importance of what organizational members are doing","Inspirational, able to motivate by articulating effectively the importance of what organizational members are doing"
14,Charismatic,Vision and articulation,Item4,201.0,"Has vision, often brings up ideas about possibilities for the future","Has vision, often brings up ideas about possibilities for the future"
14,Charismatic,Vision and articulation,Item5,202.0,Provides inspiring strategic and organizational goals,Provides inspiring strategic and organizational goals
14,Charismatic,Vision and articulation,Item6,203.0,Consistently generates new ideas for the future of the organization,Consistently generates new ideas for the future of the organization
14,Charismatic,Environmental sensitivity,Item1,204.0,"Readily recognizes constraints in the organization's social and cultural environment (cultural norms, lack of grass roots support, etc) that may stand in the way of achieving organizational objectives","Readily recognizes constraints in the organization's social and cultural environment (cultural norms, lack of grass roots support, etc) that may stand in the way of achieving organizational objectives"
14,Charismatic,Environmental sensitivity,Item2,205.0,"Readily recognizes constraints in the physical environment (technological limitations, lack of resources, etc) that may stand in the way of achieving organizational objectives","Readily recognizes constraints in the physical environment (technological limitations, lack of resources, etc) that may stand in the way of achieving organizational objectives"
14,Charismatic,Environmental sensitivity,Item3,206.0,Readily recognizes barriers/forces within the organization that may block or hinder achievement of his/her goals,Readily recognizes barriers/forces within the organization that may block or hinder achievement of his/her goals
14,Charismatic,Environmental sensitivity,Item4,207.0,Recognizes the abilities and skills of other members in the organization,Recognizes the abilities and skills of other members in the organization
14,Charismatic,Environmental sensitivity,Item5,208.0,Recognizes the limitations of other members in the organization,Recognizes the limitations of other members in the organization
14,Charismatic,Environmental sensitivity,Item6,209.0,Readily recognizes new environmental opportunities (favorable physical and social conditions) that may facilitate achievement or organizational objectives,Readily recognizes new environmental opportunities (favorable physical and social conditions) that may facilitate achievement or organizational objectives
14,Charismatic,Environmental sensitivity,Item7,210.0,Entrepreneurial; seizes new opportunities to achieve goals,Entrepreneurial; seizes new opportunities to achieve goals
14,Charismatic,Unconventional behavior,Item1,211.0,Engages in unconventional behavior to achieve organizational goals,Engages in unconventional behavior to achieve organizational goals
14,Charismatic,Unconventional behavior,Item2,212.0,Uses non-traditional means to achieve organizational goals,Uses non-traditional means to achieve organizational goals
14,Charismatic,Unconventional behavior,Item3,213.0,Often exhibits very unique behavior that surprises other members of the organization,Often exhibits very unique behavior that surprises other members of the organization
14,Charismatic,Personal risk,Item1,214.0,"In pursuing organizational objectives, engages in activities involving considerable personal risk","In pursuing organizational objectives, engages in activities involving considerable personal risk"
14,Charismatic,Personal risk,Item2,215.0,"In pursuing organizational objectives, engages in activities involving considerable self-sacrifice","In pursuing organizational objectives, engages in activities involving considerable self-sacrifice"
14,Charismatic,Personal risk,Item3,216.0,Takes high personal risk for the sake of the organization,Takes high personal risk for the sake of the organization
14,Charismatic,Personal risk,Item4,217.0,Often incurs high personal costs for the good of the organization,Often incurs high personal costs for the good of the organization
14,Charismatic,Sensitivity to member needs,Item1,218.0,Shows sensitivity for the needs and feelings of other members in the organization,Shows sensitivity for the needs and feelings of other members in the organization
14,Charismatic,Sensitivity to member needs,Item2,219.0,Influences others by developing mutual liking and respect,Influences others by developing mutual liking and respect
14,Charismatic,Sensitivity to member needs,Item3,220.0,Often expresses personal concern for the needs and feelings of other members of the organization,Often expresses personal concern for the needs and feelings of other members of the organization
14,Charismatic,Does not maintain status quo,Item1,221.0,Tries to maintain the status quo or the normal way of doing things,Tries to maintain the status quo or the normal way of doing things
14,Charismatic,Does not maintain status quo,Item2,222.0,Advocates following non-risky well-established courses of action to achieve organizational goals,Advocates following non-risky well-established courses of action to achieve organizational goals
13,LBDQ Original,Initiating Structure,Item1,223.0,He encourages overtime work.,Encourages overtime work.
13,LBDQ Original,Initiating Structure,Item2,224.0,He tries out new ideas.,Tries out new ideas.
13,LBDQ Original,Initiating Structure,Item3,225.0,He rules with an iron hand.,Rules with an iron hand.
13,LBDQ Original,Initiating Structure,Item4,226.0,He criticizes poor work.,Criticizes poor work.
13,LBDQ Original,Initiating Structure,Item5,227.0,He talks about how much should be done.,Talks about how much should be done.
13,LBDQ Original,Initiating Structure,Item6,228.0,He encourages slow-working foremen to greater effort.,Encourages slow-working foremen to greater effort.
13,LBDQ Original,Initiating Structure,Item7,229.0,He waits for his foremen to push new ideas before he does.,Waits for his foremen to push new ideas before he does.
13,LBDQ Original,Initiating Structure,Item8,230.0,He assigns people under him to particular tasks.,Assigns people under him to particular tasks.
13,LBDQ Original,Initiating Structure,Item9,231.0,He asks for sacrifices from his foremen for the good of the entire department.,Asks for sacrifices from his foremen for the good of the entire department.
13,LBDQ Original,Initiating Structure,Item10,232.0,He insists that his foremen follow standard ways of doing things in every detail.,Insists that his foremen follow standard ways of doing things in every detail.
13,LBDQ Original,Initiating Structure,Item11,233.0,He sees to it that people under him are working up to their limits.,Sees to it that people under him are working up to their limits.
13,LBDQ Original,Initiating Structure,Item12,234.0,He offers new approaches to problems.,Offers new approaches to problems.
13,LBDQ Original,Initiating Structure,Item13,235.0,He insists that he be informed on decisions made by foremen under him.,Insists that he be informed on decisions made by foremen under him.
13,LBDQ Original,Initiating Structure,Item14,236.0,He lets others do their work the way they think best.,Lets others do their work the way they think best.
13,LBDQ Original,Initiating Structure,Item15,237.0,He stresses being ahead of competing work groups.,Stresses being ahead of competing work groups.
13,LBDQ Original,Initiating Structure,Item16,238.0,"He ""needles"" foremen under him for greater effort.","Needles"" foremen under him for greater effort."
13,LBDQ Original,Initiating Structure,Item17,239.0,He decides in detail what shall be done and how it shall be done.,Decides in detail what shall be done and how it shall be done.
13,LBDQ Original,Initiating Structure,Item18,240.0,He emphasizes meeting of deadlines.,Emphasizes meeting of deadlines.
